ProductID,ProductName,CategoryName,ProductDescription,ProductStandardCost,ProductListPrice,Profit,Unit,MinStockLevel
P075,ATI FirePro S9150,Video Card,Chipset:FirePro S9150,2628.06,3177.44,549.38,Cai,7
P076,AMD FirePro W9100,Video Card,Chipset:FirePro W9100,2483.38,2998.89,515.51,Cai,11
P077,EVGA 12G-P4-3992-KR,Video Card,Chipset:GeForce GTX Titan Z,2313.07,2799.99,486.92,Cai,19
P078,AMD 100-505989,Video Card,Chipset:FirePro W9100,2128.67,2699.99,571.32,Cai,18
P079,PNY VCQK6000-PB,Video Card,Chipset:Quadro K6000,1740.31,2290.79,550.48,Cai,14
P080,PNY VCQP5000-PB,Video Card,Chipset:Quadro P5000,1602.21,2015.11,412.9,Cai,17
P081,HP C2J95AT,Video Card,Chipset:Quadro K5000,1715.91,1999.89,283.98,Cai,18
P082,EVGA 12G-P4-1999-KR,Video Card,Chipset:GeForce GTX Titan X,1328.03,1799.99,471.96,Cai,20
P083,PNY VCQM5000-PB,Video Card,Chipset:Quadro M5000,1268.42,1759.99,491.57,Cai,9
P084,ATI FirePro S9050,Video Card,Chipset:FirePro S9050,1237.04,1699,461.96,Cai,7
P085,AMD 100-5056062,Video Card,Chipset:Vega Frontier Edition Liquid,1343.84,1499.99,156.15,Cai,9
P086,PNY VCQK5200-PB,Video Card,Chipset:Quadro K5200,1129.39,1449.98,320.59,Cai,5
P087,AMD FirePro S7000,Video Card,Chipset:FirePro S7000,936.42,1218.5,282.08,Cai,11
P088,AMD 100-506061,Video Card,Chipset:Vega Frontier Edition Liquid,706.99,999.99,293,Cai,5
P089,ATI FirePro R5000,Video Card,Chipset:FirePro R5000,760.59,999.99,239.4,Cai,16
P090,PNY VCQK4200-PB,Video Card,Chipset:Quadro K4200,799.05,949.89,150.84,Cai,9
P091,Asus GTX780TI-3GD5,Video Card,Chipset:GeForce GTX 780 Ti,781.91,899.99,118.08,Cai,5
P092,MSI GTX 1080 TI LIGHTNING Z,Video Card,Chipset:GeForce GTX 1080 Ti,688.35,873.98,185.63,Cai,12
P093,Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,Video Card,Chipset:GeForce GTX 1080 Ti,696.14,864.98,168.84,Cai,7
P094,MSI GTX 1080 TI LIGHTNING X,Video Card,Chipset:GeForce GTX 1080 Ti,742.94,863.98,121.04,Cai,16
P095,Zotac ZT-P10810A-10P,Video Card,Chipset:GeForce GTX 1080 Ti,702.35,849.99,147.64,Cai,6
P096,MSI GAMING,Video Card,Chipset:GeForce GTX 780 Ti,753.18,849.99,96.81,Cai,7
P097,Asus STRIX-GTX1080TI-O11G-GAMING,Video Card,Chipset:GeForce GTX 1080 Ti,691.13,829.99,138.86,Cai,11
P098,PNY VCQP4000-PB,Video Card,Chipset:Quadro P4000,725,829.89,105,Cai,7
P099,Gigabyte GV-N108TAORUSX W-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,596.05,824.98,228.93,Cai,6
P100,Zotac ZT-70203-10P,Video Card,Chipset:GeForce GTX 780,580.42,820.61,240.19,Cai,18
P101,EVGA 11G-P4-6598-KR,Video Card,Chipset:GeForce GTX 1080 Ti,663.54,809.99,146.45,Cai,6
P102,MSI GTX 1080 TI SEA HAWK X,Video Card,Chipset:GeForce GTX 1080 Ti,691.32,804.98,113.66,Cai,16
P103,Corsair CB-9060011-WW,Video Card,Chipset:GeForce GTX 1080 Ti,573.51,799.99,226.48,Cai,20
P104,MSI GTX 1080 TI AERO 11G OC,Video Card,Chipset:GeForce GTX 1080 Ti,715.72,798.26,82.54,Cai,15
P105,NVIDIA VCQM4000-PB,Video Card,Chipset:Quadro M4000,682.09,790,107.91,Cai,5
P106,Gigabyte GV-N108TAORUS X-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,688.35,784.98,96.63,Cai,15
P107,Gigabyte GV-N1070WF2OC-8GD,Video Card,Chipset:GeForce GTX 1070,551.62,769.99,218.37,Cai,14
P108,MSI GeForce GTX 1080 TI ARMOR 11G OC,Video Card,Chipset:GeForce GTX 1080 Ti,644.19,764.98,120.79,Cai,7
P109,EVGA 11G-P4-6696-KR,Video Card,Chipset:GeForce GTX 1080 Ti,594.46,759.99,165.53,Cai,14
P110,MSI GeForce GTX 1080 Ti GAMING X 11G,Video Card,Chipset:GeForce GTX 1080 Ti,666.59,759.99,93.4,Cai,7
P111,Zotac ZT-P10810C-10P,Video Card,Chipset:GeForce GTX 1080 Ti,535.03,759.99,224.96,Cai,18
P112,Zotac ZT-P10810D-10P,Video Card,Chipset:GeForce GTX 1080 Ti,580.1,759.99,179.89,Cai,14
P113,PNY VCGGTX1080T11XGPB-OC,Video Card,Chipset:GeForce GTX 1080 Ti,600.92,759.99,159.07,Cai,17
P114,Zotac ZT-P10810G-10P,Video Card,Chipset:GeForce GTX 1080 Ti,598.25,754.98,156.73,Cai,5
P115,Gigabyte GV-N98TWF3OC-6GD,Video Card,Chipset:GeForce GTX 980 Ti,633.29,749.99,116.7,Cai,19
P116,PNY VCGGTX780T3XPB-OC,Video Card,Chipset:GeForce GTX 780 Ti,592.12,749.99,157.87,Cai,10
P117,MSI GTX 980 Ti Gaming 6G,Video Card,Chipset:GeForce GTX 980 Ti,539.98,745.32,205.34,Cai,14
P118,Gigabyte GV-N108TAORUS-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,605.3,744.98,139.68,Cai,10
P119,EVGA 06G-P4-4998-KR,Video Card,Chipset:GeForce GTX 980 Ti,521.03,741.78,220.75,Cai,14
P120,MSI GTX 1080 Ti DUKE 11G OC,Video Card,Memory:11GBCore Clock:1.53GHz,555.07,739.99,184.92,Cai,5
P121,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",1139.23,1620.99,481.76,Cai,7
P122,G.Skill TridentZ RGB,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1330.26,1504.99,174.73,Cai,15
P123,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1051.97,1449.99,398.02,Cai,14
P124,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1163.49,1431.99,268.5,Cai,17
P125,G.Skill Trident Z RGB,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1174.36,1418.99,244.63,Cai,8
P126,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1139.87,1318.99,179.12,Cai,20
P127,Corsair Dominator Platinum,Storage,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1131.68,1314.99,183.31,Cai,12
P128,Corsair Vengeance LPX,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",912.98,1299.99,387.01,Cai,11
P129,Corsair Dominator Platinum,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1068.66,1264.99,196.33,Cai,20
P130,Corsair Vengeance LPX,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1019.51,1199.99,180.48,Cai,9
P131,Corsair Dominator Platinum,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1002.47,1199.99,197.52,Cai,11
P132,Corsair Vengeance LPX,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",867.52,1163.99,296.47,Cai,19
P133,Corsair Vengeance LPX,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",821.91,1099.99,278.08,Cai,18
P134,G.Skill Ripjaws 4 Series,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",836.03,1055.99,219.96,Cai,17
P135,Kingston HyperX Beast,Storage,"Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB",708.91,863.05,154.14,Cai,19
P136,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:2x16GBSize:32GB",580.33,811.99,231.66,Cai,11
P137,Corsair Vengeance Pro,Storage,"Speed:DDR3-2133,Type:240-pin DIMM,CAS:11Module:8x8GBSize:64GB",596.25,808.92,212.67,Cai,8
P138,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",700.5,804.99,104.49,Cai,20
P139,G.Skill Trident Z RGB,Storage,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",622.47,799.99,177.52,Cai,12
P140,Crucial,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB",604.04,799,194.96,Cai,14
P141,G.Skill Trident Z,Storage,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",594.04,768.99,174.95,Cai,6
P142,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",590.13,766.11,175.98,Cai,20
P143,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",647.83,760.99,113.16,Cai,14
P144,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",556.8,758.99,202.19,Cai,20
P145,Corsair Dominator Platinum,Storage,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",609.89,749.99,140.1,Cai,6
P146,Kingston,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",650.48,741.63,91.15,Cai,18
P147,Corsair Vengeance LPX,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",609.53,734.99,125.46,Cai,6
P148,G.Skill Trident Z,Storage,"Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",565.39,731.99,166.6,Cai,19
P149,G.Skill Trident Z,Storage,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",601.56,725.99,124.43,Cai,18
P150,G.Skill Trident Z,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",532.27,722.99,190.72,Cai,17
P151,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",603.22,721.99,118.77,Cai,11
P152,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",616.53,719.99,103.46,Cai,7
P153,Corsair Dominator Platinum,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",538.55,719.99,181.44,Cai,7
P154,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",585.26,713.99,128.73,Cai,11
P155,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",533.21,713.99,180.78,Cai,18
P156,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",580.21,704.99,124.78,Cai,5
P157,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",618.63,704.99,86.36,Cai,9
P158,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",633.65,704.99,71.34,Cai,20
P159,Corsair Vengeance LPX,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",565.73,699.99,134.26,Cai,15
P160,Corsair Dominator Platinum,Storage,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",578.46,699.89,121.43,Cai,12
P161,Corsair Vengeance LPX,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",595.42,699.01,103.59,Cai,7
P162,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",617.62,695.99,78.37,Cai,12
P163,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",577.25,695.99,118.74,Cai,13
P164,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",517.78,686.99,169.21,Cai,14
P165,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",546.64,686.99,140.35,Cai,17
P166,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",602.4,680.99,78.59,Cai,8
P167,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",546.05,677.99,131.94,Cai,16
P168,Kingston,Storage,"Speed:DDR3-1333,Type:240-pin DIMM,CAS:9Module:4x16GBSize:64GB",556.84,671.38,114.54,Cai,14
P169,Corsair Dominator Platinum,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",537.63,659.99,122.36,Cai,7
P170,Kingston,Storage,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x8GBSize:32GB",566.98,653.5,86.52,Cai,19
P171,G.Skill Trident X,Storage,"Speed:DDR3-3100,Type:240-pin DIMM,CAS:12Module:2x4GBSize:8GB",507.32,649.99,142.67,Cai,8
P172,Corsair Vengeance LPX,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",571.7,645.99,74.29,Cai,9
P173,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",499.09,645.99,146.9,Cai,19
P174,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",452.54,645.2,192.66,Cai,17
P175,Kingston,Storage,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB",474.18,644,169.82,Cai,9
P176,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x8GBSize:64GB",510.93,640.99,130.06,Cai,10
P177,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",450.36,640.99,190.63,Cai,9
P178,Kingston,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",471.78,635.99,164.21,Cai,20
P179,Intel DP35DPM,Mother Board,"CPU:LGA775,Form Factor:ATX,RAM Slots:4,Max RAM:8GB",626.22,789.79,163.57,Cai,9
P180,Asus X99-E-10G WS,Mother Board,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",582.02,649,66.98,Cai,9
P181,Asus ROG MAXIMUS IX EXTREME,Mother Board,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",480.89,573.99,93.1,Cai,14
P182,Asus RAMPAGE V EXTREME,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB",459,572.96,113.96,Cai,19
P183,Asus Z10PE-D8 WS,Mother Board,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:512GB",504.14,561.59,57.45,Cai,10
P184,MSI X99A GODLIKE GAMING CARBON,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",415,549.59,134.59,Cai,20
P185,Supermicro H8DG6-F,Mother Board,"CPU:G34 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:512GB",416.64,525.99,109.35,Cai,7
P186,Asus Rampage V Edition 10,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",452.5,519.99,67.49,Cai,7
P187,Gigabyte GA-Z270X-Gaming 9,Mother Board,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",380.05,503.98,123.93,Cai,9
P188,Gigabyte X299 AORUS Gaming 9,Mother Board,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",395.24,499.99,104.75,Cai,17
P189,ASRock E3C224D4M-16RE,Mother Board,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",364.79,499.99,135.2,Cai,20
P190,Asus PRIME X299-DELUXE,Mother Board,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",409.92,487.3,77.38,Cai,8
P191,Asus X99-E WS/USB 3.1,Mother Board,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",428.89,482.49,53.6,Cai,5
P192,Supermicro X9SRH-7TF,Mother Board,"CPU:LGA2011,Form Factor:ATX,RAM Slots:8,Max RAM:64GB",411.64,479.99,68.35,Cai,18
P193,Asus Z10PE-D16 WS,Mother Board,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB",332.52,469.99,137.47,Cai,13
P194,ASRock X99 Extreme11,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",380.55,469.99,89.44,Cai,8
P195,Supermicro MBD-X10DAX,Mother Board,"CPU:LGA2011-3 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:256GB",385.24,443.72,58.48,Cai,20
P196,Asus X99-DELUXE/U3.1,Mother Board,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB",332.38,440.3,107.92,Cai,10
